"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","208","DNK","Denmark","2010","15018",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","208","DNK","Denmark","2011","12025",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","208","DNK","Denmark","2012","16679",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","208","DNK","Denmark","2013","16077",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","208","DNK","Denmark","2014","16194",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","208","DNK","Denmark","2015","15338",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","208","DNK","Denmark","2016","15956",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","208","DNK","Denmark","2017","15515",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","208","DNK","Denmark","2018","14989",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","208","DNK","Denmark","2019","14991",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","208","DNK","Denmark","2020","14685",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","208","DNK","Denmark","2021","15354",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","233","EST","Estonia","2005","5821",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","233","EST","Estonia","2006","5607",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","233","EST","Estonia","2007","6426",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","233","EST","Estonia","2008","7026",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","233","EST","Estonia","2009","5249",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","233","EST","Estonia","2010","5611",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","233","EST","Estonia","2011","5912",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","233","EST","Estonia","2012","5793",
